emoji,emoji_unicode,emoji_description_hyphen,emoji_description_space,translated_description
✉️,2709 FE0F,envelope,envelope,信封
✌️,270C FE0F,victory-hand,victory hand,胜利之手
✍️,270D FE0F,writing-hand,writing hand,写字的手
✏️,270F FE0F,pencil,pencil,铅笔
✒️,2712 FE0F,black-nib,black nib,黑色笔尖
✔️,2714 FE0F,check-mark,check mark,复选标记
✖️,2716 FE0F,multiply,multiply,乘
✝️,271D FE0F,latin-cross,latin cross,拉丁十字
✡️,2721 FE0F,star-of-David,star of David,大卫之星
✳️,2733 FE0F,eight-spoked-asterisk,eight spoked asterisk,八辐星号
✴️,2734 FE0F,eight-pointed-star,eight pointed star,八角星
❄️,2744 FE0F,snowflake,snowflake,雪花
❇️,2747 FE0F,sparkle,sparkle,火花
❣️,2763 FE0F,heart-exclamation,heart exclamation,心中感叹
❤️,2764 FE0F,red-heart,red heart,红心
➡️,27A1 FE0F,right-arrow,right arrow,右箭头
⤴️,2934 FE0F,right-arrow-curving-up,right arrow curving up,右箭头向上弯曲
⤵️,2935 FE0F,right-arrow-curving-down,right arrow curving down,右箭头向下弯曲
⬅️,2B05 FE0F,left-arrow,left arrow,左箭头
⬆️,2B06 FE0F,up-arrow,up arrow,向上箭头
⬇️,2B07 FE0F,down-arrow,down arrow,向下箭头
〰️,3030 FE0F,wavy-dash,wavy dash,波浪破折号
〽️,303D FE0F,part-alternation-mark,part alternation mark,零件交替标记
🌡️,1F321 FE0F,thermometer,thermometer,温度计
🌤️,1F324 FE0F,sun-behind-small-cloud,sun behind small cloud,小云朵后面的太阳
🌥️,1F325 FE0F,sun-behind-large-cloud,sun behind large cloud,太阳在大云后面
🌦️,1F326 FE0F,sun-behind-rain-cloud,sun behind rain cloud,太阳在雨云后面
🌧️,1F327 FE0F,cloud-with-rain,cloud with rain,云有雨
🌨️,1F328 FE0F,cloud-with-snow,cloud with snow,云与雪
🌩️,1F329 FE0F,cloud-with-lightning,cloud with lightning,云与闪电
🌪️,1F32A FE0F,tornado,tornado,龙卷风
🌫️,1F32B FE0F,fog,fog,多雾路段
🌬️,1F32C FE0F,wind-face,wind face,风脸
🌶️,1F336 FE0F,hot-pepper,hot pepper,辣椒
🍽️,1F37D FE0F,fork-and-knife-with-plate,fork and knife with plate,带盘子的叉子和刀子
🎖️,1F396 FE0F,military-medal,military medal,军事奖章
🎗️,1F397 FE0F,reminder-ribbon,reminder ribbon,提醒丝带
🎙️,1F399 FE0F,studio-microphone,studio microphone,录音室麦克风
🎚️,1F39A FE0F,level-slider,level slider,水平滑块
🎛️,1F39B FE0F,control-knobs,control knobs,控制旋钮
🎞️,1F39E FE0F,film-frames,film frames,胶片帧
🎟️,1F39F FE0F,admission-tickets,admission tickets,门票
🏋️,1F3CB FE0F,person-lifting-weights,person lifting weights,举重的人
🏌️,1F3CC FE0F,person-golfing,person golfing,打高尔夫球的人
🏍️,1F3CD FE0F,motorcycle,motorcycle,摩托车
🏎️,1F3CE FE0F,racing-car,racing car,赛车
🏔️,1F3D4 FE0F,snow-capped-mountain,snow capped mountain,雪山
🏕️,1F3D5 FE0F,camping,camping,野营
🏖️,1F3D6 FE0F,beach-with-umbrella,beach with umbrella,带伞的海滩
🏗️,1F3D7 FE0F,building-construction,building construction,建筑施工
🏘️,1F3D8 FE0F,houses,houses,房屋
🏙️,1F3D9 FE0F,cityscape,cityscape,城市景观
🏚️,1F3DA FE0F,derelict-house,derelict house,废弃的房子
🏛️,1F3DB FE0F,classical-building,classical building,古典建筑
🏜️,1F3DC FE0F,desert,desert,沙漠
🏝️,1F3DD FE0F,desert-island,desert island,沙漠荒岛
🏞️,1F3DE FE0F,national-park,national park,国家公园
🏟️,1F3DF FE0F,stadium,stadium,体育场
🏳️,1F3F3 FE0F,white-flag,white flag,白旗
🏵️,1F3F5 FE0F,rosette,rosette,玫瑰花结
🏷️,1F3F7 FE0F,label,label,标签
🐿️,1F43F FE0F,chipmunk,chipmunk,花栗鼠
👁️,1F441 FE0F,eye,eye,眼睛
📽️,1F4FD FE0F,film-projector,film projector,电影放映机
🕉️,1F549 FE0F,om,om,关于
🕊️,1F54A FE0F,dove,dove,在哪里
🕯️,1F56F FE0F,candle,candle,蜡烛
🕰️,1F570 FE0F,mantelpiece-clock,mantelpiece clock,壁炉台钟
🕳️,1F573 FE0F,hole,hole,洞
🕴️,1F574 FE0F,person-in-suit-levitating,person in suit levitating,穿着西装的人悬浮
🕵️,1F575 FE0F,detective,detective,侦探
🕶️,1F576 FE0F,sunglasses,sunglasses,太阳镜
🕷️,1F577 FE0F,spider,spider,蜘蛛
🕸️,1F578 FE0F,spider-web,spider web,蜘蛛网
🕹️,1F579 FE0F,joystick,joystick,操纵杆
🖇️,1F587 FE0F,linked-paperclips,linked paperclips,链接的回形针
🖊️,1F58A FE0F,pen,pen,笔
🖋️,1F58B FE0F,fountain-pen,fountain pen,钢笔
🖌️,1F58C FE0F,paintbrush,paintbrush,画笔
🖍️,1F58D FE0F,crayon,crayon,蜡笔
🖐️,1F590 FE0F,hand-with-fingers-splayed,hand with fingers splayed,手指张开的手
🖥️,1F5A5 FE0F,desktop-computer,desktop computer,台式电脑
🖨️,1F5A8 FE0F,printer,printer,打印机
🖱️,1F5B1 FE0F,computer-mouse,computer mouse,电脑鼠标
🖲️,1F5B2 FE0F,trackball,trackball,轨迹球
🖼️,1F5BC FE0F,framed-picture,framed picture,带框的图片
🗂️,1F5C2 FE0F,card-index-dividers,card index dividers,卡片索引分隔线
🗃️,1F5C3 FE0F,card-file-box,card file box,卡片文件盒
🗄️,1F5C4 FE0F,file-cabinet,file cabinet,文件柜
🗑️,1F5D1 FE0F,wastebasket,wastebasket,废纸篓
🗒️,1F5D2 FE0F,spiral-notepad,spiral notepad,螺旋记事本
🗓️,1F5D3 FE0F,spiral-calendar,spiral calendar,螺旋日历
🗜️,1F5DC FE0F,clamp,clamp,夹钳
🗝️,1F5DD FE0F,old-key,old key,旧钥匙
🗞️,1F5DE FE0F,rolled-up-newspaper,rolled up newspaper,卷起的报纸
🗡️,1F5E1 FE0F,dagger,dagger,匕首
🗣️,1F5E3 FE0F,speaking-head,speaking head,说话的头
🗨️,1F5E8 FE0F,left-speech-bubble,left speech bubble,左边的语音气泡
🗯️,1F5EF FE0F,right-anger-bubble,right anger bubble,右愤怒泡沫
🗳️,1F5F3 FE0F,ballot-box-with-ballot,ballot box with ballot,带选票的投票箱
🗺️,1F5FA FE0F,world-map,world map,世界地图
🛋️,1F6CB FE0F,couch-and-lamp,couch and lamp,沙发和灯
🛍️,1F6CD FE0F,shopping-bags,shopping bags,购物袋
🛎️,1F6CE FE0F,bellhop-bell,bellhop bell,侍者铃
🛏️,1F6CF FE0F,bed,bed,床
🛠️,1F6E0 FE0F,hammer-and-wrench,hammer and wrench,锤子和扳手
🛡️,1F6E1 FE0F,shield,shield,盾
🛢️,1F6E2 FE0F,oil-drum,oil drum,油桶
🛣️,1F6E3 FE0F,motorway,motorway,高速公路
🛤️,1F6E4 FE0F,railway-track,railway track,铁路轨道
🛥️,1F6E5 FE0F,motor-boat,motor boat,摩托艇
🛩️,1F6E9 FE0F,small-airplane,small airplane,小飞机
🛰️,1F6F0 FE0F,satellite,satellite,卫星
🛳️,1F6F3 FE0F,passenger-ship,passenger ship,客船
#️⃣,0023 FE0F 20E3,keycap:-\x{23},keycap: \x{23},键帽：\x{23}
*️⃣,002A FE0F 20E3,keycap:-*,keycap: *,键帽：*
0️⃣,0030 FE0F 20E3,keycap:-0,keycap: 0,键帽：0
1️⃣,0031 FE0F 20E3,keycap:-1,keycap: 1,键帽：1
2️⃣,0032 FE0F 20E3,keycap:-2,keycap: 2,键帽：2
3️⃣,0033 FE0F 20E3,keycap:-3,keycap: 3,键帽：3
4️⃣,0034 FE0F 20E3,keycap:-4,keycap: 4,键帽：4
5️⃣,0035 FE0F 20E3,keycap:-5,keycap: 5,键帽：5
6️⃣,0036 FE0F 20E3,keycap:-6,keycap: 6,键帽：6
7️⃣,0037 FE0F 20E3,keycap:-7,keycap: 7,键帽：7
8️⃣,0038 FE0F 20E3,keycap:-8,keycap: 8,键帽：8
9️⃣,0039 FE0F 20E3,keycap:-9,keycap: 9,键帽：9
